Rank,Country,Airline,'19,'18,'17,'16,'15,'14,'13,'12,'11,'10,'09,'08,'07,'06,Fleet,Destinations,Sources,Alliance,Association
41,Luxembourg,Luxair,,,1.93,1.84,1.81,1.68,1.5,1.4,1.3,1.2,1.2,1.2,1.2,-,17,59,[48],n/a,A4E
42,Russia,Yamal Airlines,0.1,1.97,1.79,1.45,1.43,1.45,1.3,0.91,0.57,0.5,-,-,-,-,36,38,,n/a,
43,Malta,Air Malta,,,,,,-,-,1.7,1.8,-,-,-,-,-,8,37,[49],n/a,
44,Russia,Royal Flight,0.11,1.73,1.5,0.99,0.87,0.62,-,-,-,-,-,-,-,-,11,13,,n/a,
45,Russia,NordStar,0.09,1.42,1.4,1.29,1.13,1.1,1.24,1.16,0.77,0.54,-,-,-,-,15,50,,n/a,
46,Bulgaria,Bulgaria Air,,1.3,1.28,1.25,1.28,1.4,-,-,-,-,-,1.2,1.12,-,12,21,[50],n/a,
47,Slovenia,Adria Airways,,,1.2,1.1,1.24,1.1,1,1,1.2,-,-,-,-,-,12,23,[51],Star Alliance,AIRE
48,Russia,Nordavia,0.09,1.19,1.09,0.96,0.728,0.763,0.765,0.814,1.47,1.4,-,-,-,-,10,30,[52],n/a,
49,Russia,I-Fly,,1.13,0.75,0.4,0.61,0.97,1.05,0.63,0.41,0.38,-,-,-,-,10,30,[53],n/a,
50,Poland,Enter Air,,1.12,1.17,1.11,1.17,-,-,-,-,-,1.2,-,-,19,74,n/a,n/a,,
51,Greece,Ellinair,,1.04,0.79,0.57,0.31,0.14,-,-,-,-,-,-,-,-,10,30,[54],,
